id,year,date,day,sector,type,state,occupation,age,shift,hour,equipment,mine_id,bias_primary,bias_families
FAI-1995-01,1995,1995-01-02,Lunes,Coal,Acarreo motorizado,WV,Contratista — Operador de correa,38,noche,00:40,Correa transportadora,46-06958,PERI-1,"B, E, G, I, L, M"
FAI-1995-02,1995,1995-01-05,Jueves,Metal/NonMetal,Falla de highwall / Talud,CA,Operador de pala eléctrica/dragalina,34,noche,01:50,Cargador frontal,39-01284,PERI-1,"B, E, G, I, L, M"
FAI-1995-03,1995,1995-01-09,Lunes,Coal,Caída de persona,WV,Trabajador minero,45,día,10:45 (OFICIAL-fatalgrama),Superficie elevada de tránsito,N/D,NORM-2,"E, G, I, L, M"
FAI-1995-04,1995,1995-01-10,Martes,Metal/NonMetal,Acarreo motorizado,GA,Supervisor,51,mañana,06:15,Bulldozer/topadora,09-01059,PERI-1,"B, E, G, M"
FAI-1995-05,1995,1995-01-11,Miércoles,Coal,Acarreo motorizado,KY,Inspector,32,noche,22:30,Correa transportadora,15-14468,ATAJ-1,"E, G, K, L, M, N"
FAI-1995-06,1995,1995-01-12,Jueves,Metal/NonMetal,Explosivos y detonadores,NV,Supervisor,23,tarde,14:15,CAEX,26-01962,PERI-1,"E, G, K, L, M"
FAI-1995-07,1995,1995-01-18,Miércoles,Metal/NonMetal,Acarreo motorizado,AZ,Conductor de camión,48,noche,22:15,CAEX,02-00144,META-1,"B, E, G, I, L, M"
FAI-1995-08,1995,1995-02-02,Jueves,Metal/NonMetal,Acarreo motorizado,AZ,Operador,33,tarde,14:30,Correa transportadora,02-00704,META-1,"G, K, L"
FAI-1995-09,1995,1995-02-03,Viernes,Metal/NonMetal,Caída de techo,WY,Operador,29,mañana,08:30,Shuttle car,48-01295,PERI-1,"E, G, I, L, M"
FAI-1995-10,1995,1995-02-10,Viernes,Metal/NonMetal,Atrapamiento por maquinaria,NV,Operador de equipo,31,mañana,10:00,Cargador frontal,26-01916,PERI-1,"E, G, I, L, M"
FAI-1995-11,1995,1995-02-17,Viernes,Metal/NonMetal,Atrapamiento por maquinaria,MO,Perforador,45,tarde,16:15,Correa transportadora,23-02063,META-1,"E, G, K, L, M"
FAI-1995-12,1995,1995-02-24,Viernes,Metal/NonMetal,Acarreo motorizado,CA,Conductor de camión,50,mañana,08:30,Cargador frontal,04-04988,PERI-1,"B, E, G, I, L, M"
FAI-1995-13,1995,1995-03-10,Viernes,Metal/NonMetal,Acarreo motorizado,CA,Mecánico,43,mañana,09:50,CAEX,04-00743,META-1,"E, G, M"
FAI-1995-14,1995,1995-03-13,Lunes,Coal,Acarreo motorizado,PA,Inspector,21,mañana,07:30,Cargador frontal,36-08335,META-1,"E, G, K, L, M, N"
FAI-1995-15,1995,1995-03-14,Martes,Coal,Acarreo motorizado,PA,Inspector,21,mañana,08:10,Cargador frontal,36-06990,META-1,"E, G, K, L, M, N"
FAI-1995-16,1995,1995-03-14,Martes,Metal/NonMetal,Acarreo motorizado,AL,Inspector de calidad,60,mañana,13:30,Cargador frontal,01-02140,PERI-1,"E, G, I, L, M"
FAI-1995-17,1995,1995-03-17,Viernes,Metal/NonMetal,Acarreo motorizado,MO,Conductor,53,mañana,11:10,Correa transportadora,23-01889,META-1,"E, G, I, L, M"
FAI-1995-18,1995,1995-03-24,Viernes,Coal,Atrapamiento por maquinaria,WV,Minero,22,tarde,15:00,Continuous miner,42-01280,PERI-1,"E, G, K, L, M"
FAI-1995-19,1995,1995-03-27,Lunes,Metal/NonMetal,Acarreo motorizado,CA,Mecánico,43,tarde,15:45,CAEX,04-00743,PERI-1,"E, G, M"
FAI-1995-20,1995,1995-03-28,Martes,Coal,Acarreo motorizado,VA,Capataz,54,mañana,07:00,Cargador frontal,44-06783,PERI-1,"E, G, K, L, M, N"
FAI-1995-21,1995,1995-03-30,Jueves,Coal,Electrocución / Contacto eléctrico,MT,Mecánico,46,tarde,17:45,Huinche/Winche,24-00338,CONF-1,"E, G, K, L, M"
FAI-1995-22,1995,1995-04-04,Martes,Metal/NonMetal,Acarreo motorizado,CO,Conductor de camión,49,tarde,20:30,Bulldozer/topadora,05-00790,PERI-1,"E, G, M"
FAI-1995-23,1995,1995-04-09,Domingo,Coal,Acarreo motorizado,CT,Operador de cargadora,29,mañana,10:30,Cargador frontal,06-00647,NORM-1,"E, G, M"
FAI-1995-24,1995,1995-04-10,Lunes,Metal/NonMetal,Electrocución / Contacto eléctrico,FL,Supervisor,32,mañana,12:05,Cargador frontal,08-01058,PERI-1,"E, G, K, L, M"
FAI-1995-25,1995,1995-04-12,Miércoles,Coal,Acarreo motorizado,KY,Inspector,32,noche,03:55,Cargador frontal,15-10180,COMP-2,"B, E, G, M"
FAI-1995-26,1995,1995-04-15,Sábado,Coal,Electrocución / Contacto eléctrico,KY,Capataz,54,tarde,20:40,Bulldozer/topadora,15-13937,NORM-3,"B, E, G, I, L, M"
FAI-1995-27,1995,1995-04-18,Martes,Coal,Atrapamiento por maquinaria,WV,Minero,35,noche,02:10,Continuous miner,46-07430,META-1,"E, G, M"
CAI-1995-C13-PROV,1995,1995-04-30,,Coal,N/D — coal #13/1995 (boletín FAB95C13 no localizable en arlweb ni indexado),N/D,N/D,N/D,,,,,N/D,
FAI-1995-28,1995,1995-05-11,Jueves,Coal,Acarreo motorizado,KY,Operador,31,tarde,21:10,Cargador frontal,15-17150,META-1,"B, E, G, L, M"
FAI-1995-29,1995,1995-05-12,Viernes,Coal,Acarreo motorizado,WV,Mecánico de mantenimiento subterráneo,28,mañana,08:50,Continuous miner,46-03467,PERI-1,"E, G, K, M"
FAI-1995-30,1995,1995-05-12,Viernes,Metal/NonMetal,Electrocución / Contacto eléctrico,FL,Trabajador de línea eléctrica,58,mañana,09:00,CAEX,08-00768,META-1,"E, G, M"
FAI-1995-31,1995,1995-05-19,Viernes,Metal/NonMetal,Falla de highwall / Talud,WA,Operador,28,mañana,09:30,Bulldozer/topadora,45-03226,PERI-1,"B, G"
FAI-1995-33,1995,1995-05-22,Lunes,Metal/NonMetal,Acarreo motorizado,NV,Mecánico,42,mañana,06:50,Huinche/Winche,26-00015,PERI-1,"E, G, M"
FAI-1995-34,1995,1995-05-24,Miércoles,Coal,Acarreo motorizado,NV,Conductor de camión cisterna,18,día,15:00,Estructura de correa transportadora de carbón limpio (clean coal belt conveyor structure),26-00594,PERI-1,"B, E, G, K, M"
FAI-1995-35,1995,1995-05-26,Viernes,Coal,Caída de techo,WV,Operador de pernera,38,mañana,08:30,Continuous miner,46-08394,ATAJ-1,"E, G, I, L, M"
FAI-1995-36,1995,1995-05-31,Miércoles,Metal/NonMetal,Caída de persona,AL,Inspector,35,tarde,16:00,Correa transportadora,08-01035,PERI-1,"B, E, G, L, M"
FAI-1995-37,1995,1995-06-02,Viernes,Coal,Atrapamiento por maquinaria,WV,Minero,62,mañana,10:30,Cargador frontal,46-08110,META-1,"E, G, K, L, M"
FAI-1995-38,1995,1995-06-09,Viernes,Metal/NonMetal,Caída de persona,MT,Mecánico,46,noche,04:59,CAEX,24-00338,PERI-1,"B, E, G, I, L, M"
FAI-1995-39,1995,1995-06-17,Sábado,Coal,Acarreo motorizado,PA,Operador de escalado,49,tarde,21:30,Continuous miner,40-00864,CONF-1,"E, G, K, L, M, N"
FAI-1995-40,1995,1995-07-19,Miércoles,Metal/NonMetal,Acarreo motorizado,CO,Conductor de camión,32,mañana,10:15,Huinche/Winche,05-00790,PERI-1,"E, G, I, L, M"
CAI-1995-LV-01,1995,1995-07-25,Martes,Coal,Caída de costilla,PA,Minero,31,día,N/D,Costilla de carbón,36-01726,NORM-2,"B, E, G, I, L, M"
CAI-1995-LV-02,1995,1995-07-25,Martes,Coal,Caída de costilla,PA,Minero,45,día,07:00 (OFICIAL-informe),Costilla de carbón,36-01726,NORM-2,"B, E, G, I, L, M"
FAI-1995-41,1995,1995-07-25,Martes,Coal,Caída de costilla,PA,Minero,32,mañana,10:00,Huinche/Winche,36-08014,NORM-1,"B, E, G, I, K, L, M"
FAI-1995-43,1995,1995-07-26,Miércoles,Coal,Atrapamiento por maquinaria,TN,Operador de cargadora,33,mañana,08:30,Correa transportadora,40-00075,PERI-1,"E, G, K, L, M"
FAI-1995-44,1995,1995-07-27,Jueves,Coal,Electrocución / Contacto eléctrico,WY,Operador,31,mañana,09:00,Pala hidráulica,48-00732,NORM-1,"B, E, G, I, L, M"
FAI-1995-45,1995,1995-08-03,Jueves,Metal/NonMetal,Atrapamiento por maquinaria,CT,Operador,29,mañana,11:45,Cargador frontal,06-00647,META-1,"E, G, M"
FAI-1995-46,1995,1995-08-03,Jueves,Metal/NonMetal,Caída de persona,GA,1995,59,mañana,07:30,Grúa,09-00766,PERI-1,"B, E, G, I, L, M"
FAI-1995-48,1995,1995-08-06,Domingo,Coal,Electrocución / Contacto eléctrico,KY,Inspector,16,mañana,09:50,N/D (exp. total=30a; exp. en puesto específico no disponible en informe),01-01247,CONF-1,"E, G, K, L, M"
FAI-1995-50,1995,1995-08-16,Miércoles,Metal/NonMetal,Atrapamiento por maquinaria,NY,Operador,31,mañana,10:30,Cargador frontal,30-00215,PERI-1,"E, G, K, L, M"
FAI-1995-51,1995,1995-08-19,Sábado,Metal/NonMetal,Caída de persona,SC,No determinado (campo contaminado — S303),43,mañana,09:30,Bulldozer/topadora,38-00016,PERI-1,"B, E, G, M"
FAI-1995-77,1995,1995-08-19,Miércoles,Metal/NonMetal,Caída de persona,SC,Superintendente de proyecto,43,tarde,14:00,Continuous miner,38-00016,META-1,"B, E, G, I, L, M"
